path,label,class_name,split
/data/lizihao/AIGC/AIGCDetectBenchmark-main/dataset/train/progan_train/airplane/0_real/00058.png,0,airplane,source_gate
/data/lizihao/AIGC/AIGCDetectBenchmark-main/dataset/train/progan_train/airplane/0_real/00117.png,0,airplane,source_gate
/data/lizihao/AIGC/AIGCDetectBenchmark-main/dataset/train/progan_train/airplane/0_real/00243.png,0,airplane,source_gate
/data/lizihao/AIGC/AIGCDetectBenchmark-main/dataset/train/progan_train/airplane/0_real/00280.png,0,airplane,source_gate
/data/lizihao/AIGC/AIGCDetectBenchmark-main/dataset/train/progan_train/airplane/0_real/00336.png,0,airplane,source_gate
/data/lizihao/AIGC/AIGCDetectBenchmark-main/dataset/train/progan_train/airplane/0_real/00345.png,0,airplane,source_gate
/data/lizihao/AIGC/AIGCDetectBenchmark-main/dataset/train/progan_train/airplane/0_real/00347.png,0,airplane,source_gate
/data/lizihao/AIGC/AIGCDetectBenchmark-main/dataset/train/progan_train/airplane/0_real/00426.png,0,airplane,source_gate
/data/lizihao/AIGC/AIGCDetectBenchmark-main/dataset/train/progan_train/airplane/0_real/00567.png,0,airplane,source_gate
/data/lizihao/AIGC/AIGCDetectBenchmark-main/dataset/train/progan_train/airplane/0_real/00588.png,0,airplane,source_gate
/data/lizihao/AIGC/AIGCDetectBenchmark-main/dataset/train/progan_train/airplane/0_real/00787.png,0,airplane,source_gate
/data/lizihao/AIGC/AIGCDetectBenchmark-main/dataset/train/progan_train/airplane/0_real/00819.png,0,airplane,source_gate
/data/lizihao/AIGC/AIGCDetectBenchmark-main/dataset/train/progan_train/airplane/0_real/00859.png,0,airplane,source_gate
/data/lizihao/AIGC/AIGCDetectBenchmark-main/dataset/train/progan_train/airplane/0_real/00901.png,0,airplane,source_gate
/data/lizihao/AIGC/AIGCDetectBenchmark-main/dataset/train/progan_train/airplane/0_real/00944.png,0,airplane,source_gate
/data/lizihao/AIGC/AIGCDetectBenchmark-main/dataset/train/progan_train/airplane/0_real/00959.png,0,airplane,source_gate
/data/lizihao/AIGC/AIGCDetectBenchmark-main/dataset/train/progan_train/airplane/0_real/00981.png,0,airplane,source_gate
